PRODCODE,BARCODE
C11630100,1500400395
C06310310,1500400396
C01510210,1500400397
C02520700,1500400398
C11130030,1500400399
C05320350,1500400400
C04280630,1500400401
C06660000,1500400402
C02116190,1500400403
C01630610,1500400404
C04150020,1500400405
C03721150,1500400406
C08240750,1500400407
C03720030,1500400408
C11110110,1500400409
C03721000,1500400410
C03810320,1500400411
C08110760,1500400412
C06610460,1500400413
C05413900,1500400414
C03721690,1500400415
C04333730,1500400416
C08221070,1500400417
C08240010,1500400418
C08220770,1500400419
C04333650,1500400420
C06174050,1500400421
C03960050,1500400422
C02520710,1500400423
C02520730,1500400424
C02520750,1500400425
C02520780,1500400426
C02520790,1500400427
C10510020,1500400428
C04313106,1500400429
C04260190,1500400430
C10420140,1500400431
C05123120,1500400432
C08211020,1500400433
C03320040,1500700002
C02310650,1500700003
C05920260,1500700004
C05910520,1500700005
C08210900,1500700006
C05910460,1500700010
C05910570,1500700011
C03823420,1500700012
C03823290,1500700013
C03823570,1500700014
C03824120,1500700015
C08110770,1500700016
C05910510,1500700017
C03823340,1500700018
C03823360,1500700019
C03823430,1500700021
C03823370,1500700022
C03823300,1500700023
C03823320,1500700024
C03823400,1500700025
C06213120,1500700026
C04360020,1500700027
C04360030,1500700028
C05420020,1500700033
C05420180,1500700034
C08240040,1500700036
C08240010,1500700037
C03823470,1500700038
C03823280,1500700039
C03823310,1500700041
C10220100,1500700042
C04320140,1500700043
C06310060,1500700044
C06310080,1500700046
C08130060,1500700047
C05920270,1500700048
C05130060,1500700049
C03850550,1500700051
C06620810,1500700053
C03823440,1500700054
C03823350,1500700055
C03823380,1500700056
C03823450,1500700057
C08241760,1500700058
C06310500,1500700059
C03823270,1500700060
C07320140,1500700061
C06310050,1500700062
C03823480,1500700063
C03823500,1500700064
C03823540,1500700065
C06410030,1500700066
C03824100,1500700068
C08210820,1500700069
C03920000,1500700070
C05910470,1500700071
C03823550,1500700072
C05920310,1500700073
C05910590,1500700074
C05910600,1500700075
C03850080,1500700076
C05910540,1500700077
C03823520,1500700078
C06310000,1500700080
C08211100,1500700081
C08110710,1500700082
C06213100,1500700083
C10220070,1500700084
C03823460,1500700085
C06310190,1500700086
C08221290,1500700087
C08110100,1500700089
C01140510,1500700090
C03823330,1500700091
C05910530,1500700092
C05420170,1500700093
C06181000,1500700094
C06181010,1500700095
C06181020,1500700096
C03823530,1500700097
C07330030,1500700098
C07330040,1500700099
C05910500,1500700100
C03824110,1500700101
C03823560,1500700102
C03823510,1500700103
C06213500,1500700104
C06213520,1500700105
C06310250,1500700106
C06150180,1500700107
C06150150,1500700108
C06180220,1500700109
C06310880,1500700110
C06130430,1500700111
C06110010,1500700112
C06110020,1500700113
B8858741704198Q,1500700114
B8858741715453C,1500700115
B8858741300260BN,1500700116
C8858741717914E,1500700117
C8858741717914D,1500700118
C8858741717914C,1500700119
C8858741717914B,1500700120
C8858741717167B,1500700121
C8858741717167C,1500700122
C8858741717167D,1500700123
C8858741717167E,1500700124
C8858741718164A,1500700125
C8858741718164B,1500700126
C8858741718164C,1500700127
C8858741718164D,1500700128
C8858741718164E,1500700129
C8858741718164F,1500700130
C8858741718164G,1500700131
C8858741718164H,1500700132
C8858741718164J,1500700133
C8858741718164K,1500700134
C8858741718379A,1500700135
C8858741718379B,1500700136
C8858741718379C,1500700137
C8858741718379D,1500700138
C8858741718386A,1500700139
C8858741718386B,1500700140
C8858741718386C,1500700141
C8858741718386D,1500700142
C03823490,1500700143
C03824570,1500700144
C02310200,1500700145
C03850110,1500700146
C03410000,1500700147
000208010701812653,1501100001
000208140800312652,1501100002
000208040800612652,1501100003
000208780801372452,1501100005
000208780701242422,1501100006
