Bin ID,Product Code,Product Name,Unit,NS Code,NS Name,NS SubGroup,Quantity
OB_Non P2-2,S8858741733389TH,DA Flat Highlighter Bright Green,EA,2DSD-WT-HL-TS-SK-015,Double A Flat Highlighter Bright Green P.1,DAOS,0
OB_Non P2-2,S8858741733471TH,DA Flat Highlighter Mild Yellow,EA,2DSD-WT-HL-TS-SK-018,Double A Flat Highlighter Mild Yellow P.1,DAOS,2
OB_Non P3-2,S8858741718638TH,Sticky Note:76x76mm:Neon Orange,EA,2DSD-NT-SN-TS-CN-007,Double A Sticky Note 76x76 mm Neon Orange P.1,DAOS,15
EX-3-2-15,C02310320,PEN MK อาร์ทไลน์ EK-700 :ดำ(12:B),EA,2CT-WC-05-020,ปากกามาร์คเกอร์ ARTLINE EK-700 ดำ P.12,DACT,7
GX-2-2-15,C05610070,Post-it Neon No.654-5PK 3x3 นีออน 5สี:EA,EA,2CT-PB-05-019,"กระดาษโน้ตมีกาว Post-it No.654-5PK 3x3"" คละสีนีออน P.5",DACT,32
OB_Non C2-2,C07320150,ถ่าน Panasonic Neo สีดำC(2:EA),EA,2CT-OA-06-015,ถ่านคาร์บอนซิงก์ Panasonic Neo C ดำ P.2,DACT,31
OB_Non D1-2,C04210070,"เทปใสสก็อตซ์ 500 แกน 1"" ขนาด 1/2""x36 หลา",EA,2CT-PS-02-153,"เทปใส Scotch 3M No.500 แกน 1"" 1/2""x36 หลา",DACT,5
OB_Non D2-2,C04230360,เทปเยื่อกาว 2 หน้าสก๊อตซ์ 777 12mm.x10y.,EA,2CT-PS-02-054,เทปกาว 2 หน้าแบบบาง Scotch 3M No.777 12 mmx10 หลา,DACT,41
OB_Non D3-1,C04220010,กระดาษกาวย่น Croco ขนาด 36mmx20หลา (8:P),PAK,2CT-PS-02-012,กระดาษกาวย่น Croco 36 mmx20 หลา,DACT,6
OB_Non D3-2,C04210240,"สก็อตเทปใส 2หน้า #665 แกน 3"" 1/2""x36 หลา",EA,2CT-PS-02-052,"เทปกาว 2 หน้าแบบบาง Scotch 3M No.665 แกน 3"" 1/2""x36 หลา",DACT,10
OB_Non E3-2,C04243400,"เทปผ้า ใบโพธิ์ ขนาด 3""x8 หลา สีฟ้า",EA,2CT-PS-02-125,"เทปผ้า ใบโพธิ์ 3""x8 หลา ฟ้า",DACT,11
OB_Non F1-1,8857040006583,"Double A Metal Steel Ruler 12""",EA,2DSD-ME-CU-TS-CN-004,"Double A Metal Steel Ruler 12""",DAOS,16
OB_Non F1-2,C03340360,"กรรไกร 5"" ตราม้า 201",EA,2CT-OS-04-013,"กรรไกร ตราม้า 201 5""",DACT,0
OB_Non F2-1,C03320180,ใบมีดคัตเตอร์ ทาจิม่า LCB-30,EA,2CT-OS-04-032,ใบมีดคัตเตอร์ ทาจิม่า LCB-30 P.6,DACT,2
OB_Non F2-2,C03210020,เครื่องเจาะกระดาษ Aroma 600,EA,2CT-OS-03-004,เครื่องเจาะกระดาษ AROMA No.600,DACT,9
OB_Non F3-1,C03823510,สันห่วงพลาสติก TMP 45 mm. ขาว 10 EA:P,EA,2CT-OS-10-073,สันห่วงพลาสติก TMP 45 mm ขาว P.10,DACT,10
OB_Non G1-1,C03030010,แท่นประทับตรา Horse No.2 Blue,,2CT-OS-01-099,แท่นประทับตรา ตราม้า No.2 น้ำเงิน,DACT,50
OB_Non G1-2,C03730050,แปรงลบกระดานตราม้า H-01,EA,2CT-OS-09-014,แปรงลบกระดานไวท์บอร์ด Horse H-01,DACT,6
OB_Non G2-1,C03120040,"ลวดเย็บกระดาษ MAX 10-5M 5,000 เข็ม",EA,2CT-OS-02-061,"ลวดเย็บกระดาษ MAX 10-5M 5,000 เข็ม",DACT,16
OB_Non G2-2,C03110670,เครื่องเย็บ AROMA # HD-45N,EA,2CT-OS-02-007,เครื่องเย็บกระดาษ AROMA HD-45N,DACT,6
OB_Non H3-1,C02730090,ไส้ดินสอ เพนเทล ไฮโพลิเมอร์C505 2B(12:B),EA,2CT-WC-08-027,ไส้ดินสอ Pentel ไฮโพลิเมอร์C505 2B P.12,DACT,46
OB_Non I2-2,C06190070,แฟ้มเก็บนามบัตร โคมิค A1601 สีน้ำเงิน,EA,2CT-FS-03-002,แฟ้มเก็บนามบัตร โคมิค A1601 น้ำเงิน P.1,DACT,20
OB_Non I3-1,C05010710,ป้ายสติ๊กเกอร์ ตราช้าง A14 (50x50mm.),PAC,2CT-PB-01-444,ป้ายสติกเกอร์ ตราช้าง A14 50x50 mm P.1,DACT,2
OB_Non I3-2,C05011010,ป้ายสติ๊กเกอร์ ตราม้า No.A20 150x200 มม.,EA,2CT-PB-01-426,ป้ายสติกเกอร์ Horse A20 150x200 mm,DACT,19
OB_Non N1-2,C06420000,"ตาไก่พลาสติก ,Comix, 500 ดวง",EA,2CT-FS-05-003,ตาไก่พลาสติก โคมิค P.500,DACT,28
OB_Non N2-1,C05120940,FlyingColourPaperม่วง 120g.A4 #07 P.100,EA,2CT-PB-02-242,กระดาษสี Flying A4 120gsm 100s ม่วง #07,DACT,10
OB_Non N3-1,C05121150,FlyingColourPaper ครีม 160g.A4 #04 P.50,EA,2CT-PB-02-253,กระดาษสี Flying A4 160gsm 50s ครีม #04,DACT,4
OB_Non N3-2,C05630710,อินเด็กซ์ Stick'N Neon No.21205 5x2 4:P,EA,2CT-PB-05-145,อินเด็กซ์กระดาษ Stick'N No.21205 5x2cm คละสีนีออน 4 สี,DACT,13
OB_Non P2-1,S8858741756173AA,DA Evo Zinc SuperHD AA:S21/B32:4Pcs SW,EA,2DSD-BT-EZ-TS-CN-001,Double A Evo Zinc Battery AA P.4 TH,DAOS,19
OB_Non P3-2,S8858741723083TH,Lined Note:76x76: Pastel Yellow: LN18201,EA,2DSD-NT-AN-TS-CN-001,Double A Lined Note 76x76 mm Pastel Yellow P.1,DAOS,9
OB_Non P3-2,S8858741717136TH,Sticky Note:76x76mm:Neon Magenta,EA,2DSD-NT-SN-TS-CN-006,Double A Sticky Note 76x76 mm Neon Magenta P.1,DAOS,20
OB_Non P3-2,S8858741723724TH,Assorted Note:76x25: Mix Pastel: AN16324,,2DSD-NT-AN-TS-CN-009,Double A Assorted Note 76x25 mm Mix Pastel P.1,DAOS,30
OB_Non P3-2,S8858741723960TH,Assorted Note: 76x76  :Mix Neon:AN18326,,2DSD-NT-AN-TS-CN-014,Double A Assorted Note 76x76 mm Mix Pastel P.1,DAOS,2
EX-3-2-16,C02513890,PENแผ่นใส Edding E140S:ดำ ลบไม่ได้(10:B),EA,2CT-WC-06-018,ปากกาเขียนแผ่นใส Edding E140S ลบไม่ได้ ดำ P.10,DACT,24
EX-3-2-16,C02513900,PENแผ่นใส EddingE140S:แดง ลบไม่ได้(10:B),EA,2CT-WC-06-019,ปากกาเขียนแผ่นใส Edding E140S ลบไม่ได้ แดง P.10,DACT,35
EX-3-2-16,C02513910,PENแผ่นใส EddingE140S:Blueลบไม่ได้(10:B),EA,2CT-WC-06-020,ปากกาเขียนแผ่นใส Edding E140S ลบไม่ได้ น้ำเงิน P.10,DACT,48
EX-3-2-16,C02513920,PENแผ่นใสEddingE140S:เขียวลบไม่ได้(10:B),EA,2CT-WC-06-015,ปากกาเขียนแผ่นใส Edding E140S ลบไม่ได้ เขียว P.10,DACT,40
GX-2-2-16,C05610750,โพสอิท รุ่น #654-4 VAD สีพาสเทล  4 ฟรี 1,EA,2CT-PB-05-017,"กระดาษโน้ตมีกาว Post-it No.654-4 VAD 3x3"" คละสีพาสเทล P.4+1",DACT,19
OB_Non C2-2,C07330330,ถ่าน Alkaline Panasonic ขนาด D(2ก้อน:P),EA,2CT-OA-06-023,ถ่านอัลคาไลน์ Panasonic D P.2,DACT,61
OB_Non D1-2,C04210680,"เทปใส 500 1""x36Y แกน 3"" Plate(8 EA/P)",EA,2CT-PS-02-156,"เทปใส Scotch 3M No.500 แกน 3"" 1""x36 หลา",DACT,26
OB_Non D2-2,C04230110,เทปกาว 2 หน้าแบบบาง NUVO 24 มม.x 20 หลา,EA,2CT-PS-02-051,เทปกาว 2 หน้าแบบบาง NUVO 24 mmx20 หลา,DACT,64
OB_Non D3-1,C04260650,"เทป OPP INTER ขนาด 2""x100 หลา สีใส",EA,2CT-PS-02-034,"เทป OPP INTER 2""x100 หลา ใส",DACT,6
OB_Non D3-2,C04110070,กาวแท่ง AMOS ขนาด 22 กรัม,EA,2CT-PS-01-009,กาวแท่ง AMOS 22 g,DACT,40
OB_Non E3-2,C04243045,"เทปผ้า ใบโพธิ์ ขนาด 1""x8 หลา สีเหลือง",EA,2CT-PS-02-111,"เทปผ้า ใบโพธิ์ 1""x8 หลา เหลือง",DACT,70
OB_Non F1-1,C03341010,กรรไกร สก๊อตช์ Multi purpose 1428 8 นิ้ว,EA,2CT-OS-04-071,"กรรไกร สก็อตช์ Multi Purpose 1428 8""",DACT,9
OB_Non F1-2,C03311530,มีดคัตเตอร์อโรม่า ซิลเวอร์ 51 (12:P),EA,2CT-OS-04-052,มีดคัตเตอร์ AROMA ซิลเวอร์ 51 P.12,DACT,46
OB_Non F2-1,C03320430,ใบมีดคัตเตอร์เล็ก ใบโพธิ์ A-100,EA,2CT-OS-04-033,ใบมีดคัตเตอร์ ใบโพธิ์ A-100 เล็ก P.6,DACT,39
OB_Non F2-2,C03210900,เครื่องเจาะกระดาษ ตราม้า H-301,EA,2CT-OS-03-009,เครื่องเจาะกระดาษ Horse H-301,DACT,15
OB_Non F3-2,C03824060,สันห่วงพลาสติก  25 mm. ดำ 10 EA:P,EA,2CT-OS-10-054,สันห่วงพลาสติก 25 mm ดำ P.10,DACT,130
OB_Non G1-1,C02420000,หมึกเติม WB ไพล็อต : น้ำเงิน(12:B),EA,2CT-WC-05-083,หมึกเติมไวท์บอร์ด PILOT น้ำเงิน P.12,DACT,3
OB_Non G1-2,C03710930,กล่องเหล็กใส่ปากกา 3 ช่อง ตราเพชร 933,EA,2CT-OS-11-011,กล่องใส่ปากกา เพชร เหล็ก No.933 3 ช่อง,DACT,1
OB_Non G2-2,C03120280,ลวดเย็บกระดาษ AROMA No.23/13,EA,2CT-OS-02-047,ลวดเย็บกระดาษ AROMA No.23/13,DACT,10
OB_Non H1-1,C02414240,Pen WB สองหัว สีดำ ตราม้า (12:P),EA,2CT-WC-05-057,ปากกาไวท์บอร์ด Horse สองหัว ดำ P.12,DACT,112
OB_Non H1-2,C02213820,PEN HL ควอนตั้ม QH-710 :เขียว(12:B),EA,2CT-WC-04-009,ปากกาไฮไลท์ Quantum QH-710 เขียว P.12,DACT,58
OB_Non H2-1,C02413110,PEN WB ไพล็อต หัวแหลม : เขียว(12:B),EA,2CT-WC-05-060,ปากกาไวท์บอร์ด PILOT หัวกลม เขียว P.12,DACT,42
OB_Non H2-2,C02113530,PEN BALL ตราม้า H-407 : แดง (50:B),EA,2CT-WC-01-014,ปากกาลูกลื่น Horse H-407 แดง P.50,DACT,466
OB_Non H3-1,C02730520,ไส้ดินสอ ไพล็อต นีโอ-X5 0.5 มม. 2B,EA,2CT-WC-08-029,ไส้ดินสอ ไพล็อต นีโอ-X5 0.5 มม. 2B P.2,DACT,25
OB_Non I2-2,C03830490,แผ่นใสทำปก 100 แผ่น/แพ็ค (Demo),EA,2CT-OS-10-005,แผ่นใสทำปก P.100,DACT,5
OB_Non I3-1,C05010740,ป้ายสติ๊กเกอร์  ตราช้าง A17 (80x105mm.),PAC,2CT-PB-01-447,ป้ายสติกเกอร์ ตราช้าง A17 80x105 mm P.1,DACT,13
OB_Non I3-2,C05010910,ป้ายสติ๊กเกอร์ ตราม้า No.A10 25x50 มม.,EA,2CT-PB-01-417,ป้ายสติกเกอร์ Horse A10 25x50 mm,DACT,18
